,level_0,index,name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
10,16,684,GJ 15 Ab,Confirmed,0.00953,0.00138,0.00138,0.00953,0.00138,0.00138,,,,11.4407,0.0016,0.0016,0.072,0.004,0.004,0.094,0.065,0.065,,,,,2014.0,2024-07-28,60.0,-20.0,-20.0,2456995.86,,,,,,,,,,,,,,,,,,,,,1.68,0.18,0.18,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 1326A b,,GJ 15 A,4.59535550763,44.0229522831,8.08,,,,,3.587,,,-0.32,,,0.375,,,0.3863,,,M2V,,,,3567.0,,,,,"HIP 1475, HD 1326 A, GX And, Groombridge 34 A, Gmb 34 A"
11,18,710,GJ 3021 Ab,Confirmed,3.37,0.09,0.09,3.37,0.09,0.09,,,,133.71,0.2,0.2,0.49,,,0.511,0.017,0.017,,,,0.027809,2000.0,2024-07-28,290.7,3.0,3.0,2451545.86,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"SAO 258219 b, HIP 1292 b, TYC 9354-00780-1 b, 2MASS J00161266-7951042 b, HD 1237 b",,GJ 3021 A,4.05,-79.8511111,6.59,,,,,17.62,0.17,0.17,0.1,0.08,0.08,0.9,,,0.9,,,G6V,8.77,,,5540.0,75.0,75.0,,,HD 1237
12,19,729,GJ 338 Bb,Confirmed,0.0327,0.0038,0.0038,0.0327,0.0038,0.0038,,,,24.435,0.02,0.02,0.142,0.005,0.005,0.097,0.067,0.067,,,,,2020.0,2024-07-28,204.3,70.0,70.0,2457521.34,0.83,0.83,,,,,,,,,,,,,,,,,,,3.14,0.27,0.27,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HD 79211 b, STF 1321 Bb",,GJ 338 B,138.602833342,52.6863611272,,,4.8,,,6.334,0.002,0.002,-0.03,0.16,0.16,0.64,0.07,0.07,0.58,0.03,0.03,M0V,4.0,3.0,3.0,4005.0,51.0,51.0,,,"HD 79211, STF 1321 B"
13,21,754,GJ 414 Ab,Confirmed,0.02762,0.00777,0.00777,0.02762,0.00777,0.00777,0.2632,0.009,0.009,50.817,0.03,0.03,0.24,0.01,0.01,0.48,0.16,0.16,,,,,2020.0,2024-07-31,132.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,2.5,0.65,0.65,303.7,33.0,33.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,GJ 414 A,167.770833335,30.44611113,8.9,,,,,11.893,0.007,0.007,0.24,0.1,0.1,0.65,0.08,0.08,0.68,0.14,0.14,K7V,12.4,5.2,5.2,4120.0,109.0,109.0,,,
14,23,775,GJ 667 Cb,Confirmed,0.0176,0.0041,0.0041,0.0176,0.0041,0.0041,,,,7.2004,0.0017,0.0017,0.0505,0.0053,0.0053,0.13,0.11,0.11,,,,0.007368,2009.0,2024-07-29,5.7,360.0,360.0,2454443.1,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 667 C,259.7375,-34.9897222,10.22,,,,,6.84,0.4,0.4,-0.55,,,0.33,,,,,,M1.5V,6.0,4.0,4.0,3600.0,,,,,
15,28,781,GJ 676 Ab,Confirmed,5.792,0.477,0.477,4.733,0.01,0.01,,,,1051.4,0.4,0.4,1.735,0.06,0.06,0.319,0.003,0.003,48.919,2.781,2.781,0.109422,2009.0,2024-07-29,87.073,0.601,0.601,2455411.9,3.0,3.0,,,,,,,,,,,,,,,,,,,125.172,0.428,0.428,,,,,,,,,,Submitted to a professional journal,"Radial Velocity, Astrometry",Astrometry,,,,GJ 676 A,262.5458333,-51.6369444,9.59,,,,,16.45,0.44,0.44,0.23,0.1,0.1,0.71,0.04,0.04,,,,M0V,,,,,,,,,LDS 599 A
16,32,794,GJ 752 Ab,Confirmed,0.0384,0.0044,0.0044,0.0384,0.0044,0.0044,,,,105.9,0.1,0.1,0.3357,0.01,0.01,0.16,0.1,0.1,,,,,2018.0,2024-07-31,269.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,2.85,0.25,0.25,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HD 180617 b, Wolf 1055 Ab",,GJ 752 A,289.230235539,5.16889968738,9.115,,,,,5.9116,0.018,0.018,0.0,0.16,0.16,0.45,0.04,0.04,0.453,0.019,0.019,M2.5V,5.5,4.5,4.5,3557.0,51.0,51.0,,,"HD 180617, Wolf 1055 A"
17,33,796,GJ 777 Ab,Confirmed,1.495,0.15,0.15,1.495,0.15,0.15,,,,2867.9,7.7,7.7,3.92,0.2,0.2,0.343,0.017,0.017,,,,,2003.0,2024-08-03,14.7,32.0,32.0,2459271.0,19.0,19.0,,,,,,,,,,,,,,,,,,,23.39,0.46,0.46,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 190360 b,,GJ 777 A,300.9041667,29.8966667,5.74,,,,,16.0069,0.0159,0.0159,0.19,0.1,0.1,0.98,0.1197,0.1197,1.168,0.0536,0.0536,G5IV-V,8.2,,,5549.0,111.723,111.723,,,"HR 7670, LAL 38380, LDS 6339 A, HD 190360"
18,36,806,GJ 86 Ab,Confirmed,4.27,0.09,0.09,4.27,0.09,0.09,,,,15.766,0.04,0.04,0.1177,0.0015,0.0015,0.048,0.002,0.002,,,,0.010092,2000.0,2024-07-28,266.0,,,2451146.7,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HD 13445 b, HD 13445 Ab",,GJ 86 A,32.6080593836,-50.8237272164,6.11,,4.79,4.25,4.12,10.7836,0.00535,0.00535,-0.234,0.0169,0.0169,0.88,0.115,0.115,0.7905,0.0519,0.0519,K1V,2.03,,,5188.5,139.798,139.798,,,"HIP 10138, HD 13445, ESG 1 A"
19,37,848,HAT-P-10 Ab,Confirmed,0.46,0.028,0.028,,,,1.045,0.033,0.033,3.722469,6.7e-06,6.7e-06,0.0439,0.0009,0.0009,0.0,,,89.8,0.1,0.1,0.000351,2008.0,2024-07-31,,,,,,,,,,2456308.2356,0.000107,0.000107,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,"WASP-11 b, WASP-11 Ab",,HAT-P-10 A,47.3708333,30.6736111,11.89,,,,,125.0,5.0,5.0,0.13,0.08,0.08,0.82,0.03,0.03,0.81,0.02,0.02,K3V,11.2,4.1,4.1,4980.0,60.0,60.0,,,"WASP-11, WASP-11 A, TOI-4516"
20,38,861,HAT-P-1 Bb,Confirmed,0.525,0.019,0.019,,,,1.319,0.019,0.019,4.46529976,5.5e-07,5.5e-07,0.05561,0.00083,0.00083,0.067,,,85.634,0.056,0.056,0.000398,2006.0,2024-08-04,360.0,,,,,,,,,2453979.93202,0.00024,0.00024,,,,,,,,,,,,,,,,1322.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,TOI-1388.01,"H2O, K, Na",HAT-P-1 B,344.4458333,38.675,10.4,,,,,139.0,20.0,20.0,0.13,0.008,0.008,1.151,0.052,0.052,1.174,0.03,0.03,G0V,3.6,,,5980.0,49.0,49.0,,,"ADS 16402 B, BD+37 4734 B, TOI-1388"
21,39,878,HAT-P-32 b,Confirmed,0.75,0.13,0.13,,,,1.789,0.025,0.025,2.15000825,1.2e-07,1.2e-07,0.03427,0.00042,0.00042,0.044,0.044,0.044,88.9,0.4,0.4,0.000108,2011.0,2022-07-11,,,,,,,,,,2454420.44645,9e-05,9e-05,,,,,,,,,,,,,108.0,18.0,18.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"H, H2O, He",HAT-P-32,31.04166667,46.6877778,11.29,,,,,320.0,16.0,16.0,-0.16,0.08,0.08,1.176,0.07,0.07,1.387,0.067,0.067,F/G,3.8,0.5,0.5,6001.0,88.0,88.0,,,
22,40,879,HAT-P-33 Ab,Confirmed,0.763,0.117,0.117,,,,1.827,0.29,0.29,3.474474,1e-06,1e-06,0.0503,0.0011,0.0011,0.148,0.081,0.081,86.7,1.2,1.2,0.00012,2011.0,2024-07-31,96.0,119.0,119.0,,,,,,,2455100.50255,0.00023,0.00023,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,TOI-1714.01,,HAT-P-33 A,113.1833333,33.835,11.89,,,,,419.0,66.0,66.0,0.05,0.08,0.08,1.403,0.096,0.096,1.777,0.28,0.28,F6IV-V,2.4,0.4,0.4,6401.0,88.0,88.0,,,TOI-1714
